
한파일수
지점/지역명 : 인천

평균 한파일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,1.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.8
최근 10년,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.3
최근  5년,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.6
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2016,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2018,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2021,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4
2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2
2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6


평균 계절별 한파일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
평년,0.0,0.0,0.0,1.8
최근 10년,0.0,0.0,0.0,2.4
최근  5년,0.0,0.0,0.0,2.8
2014,0,0,0,0
2015,0,0,0,3
2016,0,0,0,0
2017,0,0,0,6
2018,0,0,0,1
2019,0,0,0,0
2020,0,0,0,3
2021,0,0,0,2
2022,0,0,0,5
2023,0,0,0,4
2024,0,0,0,0


한파일수 관측값
연도,날짜,지점,관측값
2016,0119,인천,-13.2
2016,0120,인천,-12.8
2016,0124,인천,-16.3
2018,0112,인천,-14.4
2018,0123,인천,-12.7
2018,0124,인천,-15.1
2018,0125,인천,-15.7
2018,0126,인천,-17.1
2018,0127,인천,-14.3
2018,1228,인천,-13.2
2021,0107,인천,-15.4
2021,0108,인천,-17.5
2021,0109,인천,-15.2
2021,1225,인천,-12.8
2021,1226,인천,-14.3
2022,1218,인천,-12.4
2022,1223,인천,-12.8
2022,1224,인천,-12.7
2023,0124,인천,-16.5
2023,0125,인천,-16.7
2023,1217,인천,-12.1
2023,1221,인천,-13.9
2023,1222,인천,-14.2
2024,0123,인천,-13.6
