검색조건
대출기간,2024-01-01 ~ 2024-10-29
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-10-30
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","03810","813.7","39,989",
"2","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","03810","813.7","29,145",
"3","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","03810","813.62","26,684",
"4","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","3","9791164134267","77810","810","24,320",
"5","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","5","9791164135592","77810","810","24,278",
"6","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","4","9791164134847","77810","810","23,964",
"7","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","8","9791164138197","77810","810","23,897",
"8","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","10","9791168411685","77810","810","23,803",
"9","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","77810","810","23,754",
"10","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","6","9791164136261","77810","810","23,398",
"11","달러구트 꿈 백화점 :이미예 장편소설","지은이: 이미예","팩토리나인","2020","","9791165341909","03810","813.7","23,317",
"12","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","77810","810","23,293",
"13","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","77810","810","23,226",
"14","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","7","9791164137527","77810","810","23,086",
"15","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","9","9791164139897","77810","810","22,981",
"16","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","13","9791168415232","77810","810","22,632",
"17","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","12","9791168414471","77810","810","22,560",
"18","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","14","9791168416369","77810","810","22,064",
"19","도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ","요한 하리 지음 ;김하현 옮김","어크로스(어크로스출판그룹)","2023","","9791167740984","03180","181.27","21,555",
"20","메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ","글: 윤정은","북로망스","2023","","9791191891287","03810","813.7","20,937",
"21","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","1","9788936447694","74810","813.7","20,488",
"22","세이노의 가르침 :피보다 진하게 살아라 ","세이노 지음","데이원","2023","","9791168473690","03190","325.211","20,227",
"23","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","03810","813.7","20,143",
"24","마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ","강용수 지음","유노콘텐츠그룹","2023","","9791192300818","03160","165.47","19,958",
"25","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","03400","490.99","19,792",
"26","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","77400","400","19,623",
"27","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","77400","400","19,492",
"28","아주 희미한 빛으로도 :최은영 소설 ","지은이: 최은영","문학동네","2023","","9788954695053","03810","813.7","19,464",
"29","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","74810","813.7","19,380",
"30","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","77400","400","19,223",
"31","이처럼 사소한 것들 :클레어 키건 소설 ","지은이: 클레어 키건 ;옮긴이: 홍한별","다산북스","2023","","9791130646381","03840","843.6","19,222",
"32","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","03810","813.7","19,164",
"33","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","5","9788936448370","73810","813.7","19,121",
"34","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","6","9788936448523","73810","813.7","19,070",
"35","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","9","9791168415409","77400","400","18,960",
"36","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","77400","400","18,816",
"37","홍학의 자리 :정해연 장편소설 ","지은이: 정해연","문학동네","2021","","9788954681155","03810","813.7","18,811",
"38","맡겨진 소녀 :클레어 키건 소설 ","지은이: 클레어 키건 ;옮긴이: 허진","다산북스","2023","","9791130698199","03840","843.6","18,718",
"39","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","7","9791168413931","77400","400","18,669",
"40","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","77400","400","18,614",
"41","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","3","9788936448011","74810","813.7","18,600",
"42","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","5","9791168410848","77400","400","18,572",
"43","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","8","9791168414822","77400","400","18,558",
"44","흔한남매 과학 탐험대","원작: 흔한남매 ;이태영","김영사","2021","2","9788934980254","77400","400","18,419",
"45","아몬드손원평 장편소설","손원평","창비","2017","","9788936434267","03810","813.7","18,389",
"46","흔한남매 과학 탐험대","원작: 흔한남매 ;이태영","김영사","2021","1","9788934989257","77400","400","18,339",
"47","나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ","패트릭 브링리 지음 ;조현주 옮김","웅진씽크빅","2023","","9788901276533","03840","848","18,276",
"48","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","74810","813.5","18,221",
"49","바다가 들리는 편의점 ","마치다 소노코 지음 ;황국영 옮김","바이포엠 스튜디오","2023","","9791192579504","03830","833.6","18,172",
"50","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","03810","813.7","18,153",
"51","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","3","9791168415034","74810","813.5","17,900",
"52","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","15","9791168417199","77810","810","17,898",
"53","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","74810","813.5","17,887",
"54","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","4","9791168416314","74810","813.5","17,874",
"55","퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명 ","벤저민 하디 지음 ;최은아 옮김","상상스퀘어","2023","","9791192389325","03320","325.211","17,870",
